CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG
12-005664,22.163,4.371,2.43,0.1
12-005667,20.545,0.31,2.43,0
12-005676,27.463,1.893,2.42,0
12-005678,10.768,4.19,2.42,0
12-005704,9.161,3.966,2.41,0.11
12-005711,16.542,0.752,2.41,0.14
12-005717,11.104,3.868,2.41,0
12-005729,5.024,4.816,2.4,0
12-005759,23.626,0.845,2.4,0.31
12-005769,5.159,4.727,2.39,0
12-005772,13.522,0.408,2.39,0
12-005781,7.675,2.194,2.39,0
12-005788,23.55,2.952,2.39,0.09
12-005798,19.606,0.987,2.39,0.16
12-005813,15.181,3.19,2.38,0.29
12-005815,27.4,1.392,2.38,0.26
12-005828,25.471,4.741,2.38,0
12-005833,18.481,2.85,2.38,0.15
12-005837,14.484,4.693,2.38,0
12-005860,5.315,3.397,2.37,0.27
12-005865,19.972,3.299,2.37,0.19
12-005870,15.094,2.517,2.37,0.21
12-005872,23.871,3.37,2.37,0
12-005875,28.209,2.733,2.37,0.09
12-005903,23.883,3.584,2.36,0.17
12-005938,13.745,1.554,2.35,0
12-005945,20.656,0.963,2.35,0.06
12-005947,5.126,2.946,2.35,0.03
12-005969,5.155,1.339,2.34,0
12-005977,0.246,0.536,2.34,0
12-005978,3.26,2.236,2.34,0.05
12-005997,24.54,4.925,2.33,0
12-006001,24.87,4.56,2.33,0.12
12-006022,8.401,1.56,2.32,0
12-006027,4.607,4.895,2.32,0
12-006035,25.328,1.536,2.32,0
12-006037,20.843,2.596,2.32,0.34
12-006047,5.027,4.318,2.32,0
12-006071,11.893,0.926,2.31,0
12-006072,22.695,2.517,2.31,0
12-006080,2.655,0.28,2.31,0
12-006087,22.282,1.196,2.3,0.18
12-006090,1.187,1.014,2.3,0
12-006105,4.52,4.662,2.3,0
12-006111,19.217,3.366,2.3,0
12-006121,5.523,4.213,2.29,0
12-006128,19.387,0.658,2.29,0.1
12-006141,28.218,4.069,2.29,0.17
12-006145,2.04,2.424,2.29,0
12-006148,2.703,0.089,2.29,0
12-006152,7.513,4.638,2.29,0.25
12-006157,20.95,1.446,2.28,0.21
12-006161,24.54,2.935,2.28,0.1
12-006175,5.583,0.733,2.28,0.17
12-006177,24.232,0.676,2.28,0.16
12-006189,22.642,0.227,2.28,0.14
12-006196,5.738,4.656,2.28,0
12-006200,3.662,1.218,2.28,0
12-006201,27.858,2.341,2.28,0
12-006222,6.697,1.222,2.27,0.31
12-006223,8.618,1.14,2.27,0
12-006236,21.56,2.078,2.27,0.19
12-006244,6.027,4.482,2.27,0
12-006256,25.794,3.526,2.26,0.11
12-006257,23.804,0.745,2.26,0.08
12-006282,21.282,2.086,2.26,0.09
12-006290,15.883,4.861,2.25,0
12-006322,24.382,1.56,2.25,0.08
12-006332,24.067,3.188,2.25,0
12-006342,19.519,1.081,2.24,0.17
12-006354,21.549,0.273,2.24,0.1
12-006359,10.938,4.701,2.24,0.03
12-006364,19.397,1.763,2.24,0
12-006367,8.106,1.615,2.24,0
12-006370,19.617,2.595,2.24,0.07
12-006372,7.85,0.648,2.24,0.11
12-006385,8.183,3.513,2.23,0
12-006388,0.303,4.803,2.23,0.05
12-006403,9.489,3.824,2.23,0
12-006413,17.641,4.283,2.23,0.1
12-006418,17.848,1.741,2.22,0
12-006433,10.143,2.868,2.22,0.15
12-006440,15.653,2.433,2.22,0.27
12-006448,20.412,3.232,2.21,0.21
12-006450,8.315,4.184,2.21,0
12-006474,16.598,3.833,2.21,0.23
12-006477,18.222,0.588,2.21,0.25
12-006483,4.636,4.837,2.21,0
12-006502,7.78,2.093,2.2,0
12-006520,17.432,3.341,2.2,0
12-006549,19.047,0.985,2.19,0
12-006550,6.037,0.064,2.19,0.06
12-006570,17.019,0.29,2.19,0
12-006571,12.383,0.184,2.19,0.05
12-006574,27.83,2.342,2.19,0
12-006585,14.185,2.714,2.18,0.17
12-006602,5.194,3.539,2.18,0
12-006611,11.095,3.772,2.17,0.05
12-006644,23.13,2.353,2.17,0.21
12-006646,23.103,3.576,2.17,0.17
12-006656,7.081,3.644,2.16,0.05
12-006663,22.624,2.73,2.16,0.2
12-006675,10.742,2.872,2.16,0.04
12-006680,0.08,2.919,2.16,0
12-006682,13.559,2.682,2.16,0
12-006704,23.593,2.61,2.16,0.11
12-006719,8.823,3.257,2.15,0.09
12-006725,10.979,4.2,2.15,0.02
12-006729,17.237,3.097,2.15,0
12-006741,9.43,0.919,2.15,0
12-006743,19.243,4.913,2.15,0.18
12-006762,12.088,3.696,2.14,0
12-006784,16.453,2.655,2.13,0.05
12-006804,17.94,3.514,2.13,0.06
12-006825,21.574,2.172,2.12,0
12-006851,18.164,3.855,2.12,0.05
12-006855,3.373,0.094,2.12,0.05
12-006882,18.821,3.003,2.11,0.03
12-006901,24.302,4.358,2.11,0.14
12-006915,5.96,4.3,2.1,0
12-006938,28,4.6,2.1,0
12-006940,9.635,3.121,2.1,0
12-006957,22.428,4.171,2.09,0.08
12-006966,16.77,1.54,2.09,0
12-006967,20.625,0.165,2.09,0
12-006997,24.589,4.145,2.09,0.08
12-007013,6.19,4.865,2.08,0
12-007014,11.668,2.916,2.08,0
12-007017,5.221,4.649,2.08,0
12-007020,22.469,0.101,2.08,0
12-007031,27.54,1.206,2.08,0.2
12-007032,20.221,1.929,2.08,0
12-007036,5.513,4.947,2.08,0
12-007037,20.241,3.723,2.08,0.06
12-007045,1.929,3.497,2.08,0.11
12-007060,25.479,4.099,2.07,0
12-007062,3.435,2.694,2.07,0.12
12-007067,5.903,4.923,2.07,0
12-007084,6.487,3.571,2.07,0.07
12-007087,16.913,1.947,2.06,0
12-007090,19.806,1.454,2.06,0.15
12-007092,27.943,0.155,2.06,0.09
12-007098,15.781,4.491,2.06,0
12-007103,10.928,0.223,2.06,0.04
12-007118,7.424,3.253,2.06,0
12-007134,8.232,0.126,2.05,0
12-007138,16.381,3.018,2.05,0.1
12-007142,5.785,4.557,2.05,0
12-007144,6.247,4.857,2.05,0
12-007156,12.107,4.161,2.05,0
12-007162,12.592,0.092,2.05,0.05
12-007168,11.894,0.79,2.05,0.06
12-007186,12.136,3.875,2.04,0.08
12-007192,4.29,4.682,2.04,0.13
12-007197,13.528,3.25,2.04,0.04
12-007214,21.435,4.462,2.04,0.18
12-007239,6.251,4.796,2.03,0
12-007246,20.395,1.458,2.03,0.12
12-007247,3.726,0.015,2.03,0.21
12-007251,9.167,1.068,2.03,0.07
12-007260,4.59,4.801,2.03,0
12-007269,14.059,0.898,2.03,0
12-007301,6.455,2.581,2.02,0
12-007303,26.704,3.502,2.02,0
12-007306,11.799,1.767,2.02,0
12-007322,9.099,2.703,2.02,0
12-007366,26.953,0.597,2.01,0
12-007374,5.307,4.935,2,0
12-007393,11.88,0.162,2,0.1
12-007398,14.939,2.263,2,0.15
12-007408,23.473,2.407,2,0.16
12-007426,22.434,1.043,1.99,0.05
12-007427,18.306,3.342,1.99,0.04
12-007434,22.467,0.499,1.99,0.07
12-007437,8.31,0.034,1.99,0
12-007448,29.316,0.752,1.99,0.11
12-007450,20.187,2.582,1.99,0
12-007459,15.996,1.404,1.99,0
12-007464,19.646,1.629,1.99,0
12-007480,4.173,1.273,1.99,0
12-007499,20.116,1.257,1.98,0.17
12-007500,22.102,2.781,1.98,0.07
12-007503,5.71,4.725,1.98,0
12-007504,18.074,1.312,1.98,0.17
12-007520,21.62,1.415,1.98,0
12-007523,18.378,2.395,1.98,0
12-007540,21.573,0.187,1.98,0.1
12-007549,12.471,2.652,1.98,0
12-007562,24.175,2.696,1.97,0
12-007563,17.517,3.94,1.97,0.03
12-007581,18.148,2.076,1.97,0
12-007590,16.952,0.324,1.97,0
12-007609,8.572,0.404,1.97,0.04
12-007619,27.299,1.845,1.96,0
12-007628,5.015,0.791,1.96,0
12-007629,5.764,4.586,1.96,0
12-007631,27.719,2.943,1.96,0.07
12-007636,26.952,1.609,1.96,0.08
12-007651,9.755,4.493,1.96,0
12-007654,5.556,1.641,1.96,0.04
12-007664,6.686,4.418,1.96,0.06
12-007670,19.039,0.288,1.96,0.3
12-007683,5.772,4.713,1.95,0
12-007687,13.598,1.771,1.95,0
12-007695,20.956,1.592,1.95,0
12-007699,19.122,2.779,1.95,0
12-007719,7.457,4.443,1.95,0
12-007744,29.407,4.36,1.95,0.06
12-007747,26.052,0.16,1.94,0.08
12-007760,25.109,4.417,1.94,0.07
12-007764,23.369,2.84,1.94,0.09
12-007768,7.666,4.013,1.94,0
12-007811,14.899,2.282,1.93,0
12-007814,20.952,0.044,1.93,0
12-007831,7.459,3.904,1.93,0
12-007865,27.592,4.919,1.93,0
12-007866,3.163,0.465,1.93,0.05
12-007887,6.18,4.938,1.92,0
12-007905,23.566,3.547,1.92,0.13
12-007907,25.189,3.936,1.92,0.15
12-007920,0.873,3.434,1.92,0
12-007940,16.216,3.594,1.91,0
12-007941,25.814,1.421,1.91,0
12-007967,28.305,3.271,1.91,0.06
12-007979,6.86,3.772,1.91,0.06
12-007985,22.057,0.98,1.91,0.16
12-008007,2.721,2.489,1.9,0
12-008015,22.316,2.266,1.9,0.05
12-008033,5.84,4.459,1.9,0
12-008034,0.514,0.349,1.9,0
12-008039,18.627,1.537,1.9,0.14
12-008043,19.151,0.963,1.9,0.05
12-008051,21.983,4.679,1.89,0.08
12-008053,4.601,2.169,1.89,0.15
12-008057,6.583,4.16,1.89,0
12-008058,5.07,4.784,1.89,0
12-008063,16.081,4.694,1.89,0
12-008086,6.409,1.881,1.89,0.18
12-008089,7.059,4.878,1.89,0.04
12-008102,15.609,3.29,1.88,0
12-008105,6.401,4.877,1.88,0
12-008109,10.903,0.196,1.88,0.05
12-008114,21.584,3.18,1.88,0
12-008120,17.323,3.597,1.88,0
12-008146,11.85,1.191,1.88,0
12-008165,7.009,3.906,1.88,0
12-008170,27.783,2.794,1.87,0
12-008184,6.352,4.882,1.87,0
12-008197,19.719,3.999,1.87,0.05
12-008234,24.868,2.174,1.87,0
12-008242,5.163,4.813,1.86,0
12-008245,12.665,3.692,1.86,0
12-008255,27.593,3.76,1.86,0.14
12-008259,24.107,2.263,1.86,0
12-008260,5.34,3.318,1.86,0.07
12-008317,13.984,2.212,1.85,0
12-008319,25.649,4.521,1.85,0.08
12-008327,6.691,4.725,1.85,0
12-008328,13.072,2.964,1.85,0.07
12-008336,6.134,4.157,1.85,0.08
12-008338,15.052,2.304,1.85,0
12-008346,8.167,4.252,1.84,0
12-008349,6.641,0.902,1.84,0
12-008350,14.842,2.878,1.84,0.1
12-008363,26.466,2.948,1.84,0
12-008372,24.459,2.305,1.84,0
12-008375,24.756,0.418,1.84,0.1
12-008378,8.744,4.449,1.84,0.03
12-008381,11.027,2.984,1.84,0.14
12-008401,5.316,4.474,1.84,0
12-008413,20.601,2.795,1.83,0
12-008414,18.344,2.647,1.83,0.19
12-008432,6.672,4.091,1.83,0
12-008435,11.171,1.779,1.83,0
12-008439,21.979,2.848,1.83,0.07
12-008453,22.843,1.498,1.83,0.15
12-008461,29.643,4.638,1.83,0.15
12-008466,14.777,0.184,1.83,0
12-008486,18.423,0.681,1.82,0.11
12-008492,10.791,4.784,1.82,0
12-008500,19.46,1.083,1.82,0
12-008531,18.694,1.414,1.82,0
12-008551,23.848,0.731,1.81,0.06
12-008571,28.49,1.968,1.81,0
12-008593,16.764,0.142,1.81,0
12-008594,10.682,4.937,1.81,0
12-008596,5.66,2.26,1.81,0
12-008601,27.906,0.989,1.81,0.08
12-008606,6.292,3.146,1.81,0.07
12-008611,23.64,3.224,1.81,0
12-008621,5.209,4.595,1.8,0
12-008626,27.343,4.261,1.8,0.06
12-008641,24.306,3.232,1.8,0
12-008660,27.679,1.902,1.8,0
12-008672,20.486,4.626,1.79,0
12-008707,22.311,1.2,1.79,0
12-008728,5.925,0.109,1.78,0
12-008751,5.439,0.416,1.78,0
12-008761,17.928,1.038,1.78,0
12-008768,20.917,2.466,1.78,0
12-008769,18.484,0.941,1.78,0
12-008771,6.615,1.227,1.78,0
12-008787,5.145,4.841,1.78,0
12-008801,26.65,3.503,1.78,0
12-008815,19.083,2.192,1.77,0
12-008823,9.212,4.833,1.77,0.04
12-008824,24.567,4.376,1.77,0
12-008830,10.068,1.882,1.77,0
12-008831,21.013,0.507,1.77,0
12-008846,25.812,2.829,1.77,0
12-008857,26.232,0.338,1.77,0
12-008861,15.488,3.27,1.77,0
12-008867,27.841,1.8,1.77,0
12-008874,21.12,0.438,1.77,0.1
12-008883,20.413,2.358,1.76,0
12-008887,5.332,0.36,1.76,0
12-008891,28.311,3.43,1.76,0
12-008902,13.021,1.829,1.76,0
12-008911,19.036,2.76,1.76,0
12-008925,17.219,2.128,1.76,0
12-008942,12.765,3.521,1.76,0
12-008944,13.301,3.244,1.75,0
12-008947,24.467,4.242,1.75,0
12-008957,15.154,0.671,1.75,0
12-008975,0.136,0.487,1.75,0
12-009003,6.28,2.077,1.75,0
12-009004,26.896,1.081,1.75,0.13
12-009015,13.201,0.416,1.75,0
12-009021,29.023,3.91,1.75,0.16
12-009024,24.773,4.33,1.74,0.07
12-009032,15.463,2.88,1.74,0.19
12-009049,7.601,2.59,1.74,0
12-009050,14.833,0.759,1.74,0
12-009056,20.329,2.924,1.74,0.12
12-009062,6.715,2.946,1.74,0
12-009063,21.017,0.561,1.74,0
12-009072,9.911,3.959,1.74,0
12-009089,13.595,0.558,1.74,0.17
12-009090,7.184,1.244,1.74,0
12-009097,10.915,3.156,1.74,0
12-009128,4.14,2.048,1.73,0
12-009137,27.626,1.232,1.73,0
12-009160,5.658,4.834,1.73,0
12-009166,18.301,0.46,1.72,0
12-009167,24.779,1.357,1.72,0
12-009179,28.33,4.333,1.72,0.12
12-009182,28.957,1.396,1.72,0
12-009189,8.417,0.26,1.72,0
12-009204,7.207,3.436,1.72,0
12-009222,20.869,0.105,1.72,0
12-009226,28.814,4.689,1.72,0
12-009234,6.296,4.919,1.72,0
12-009243,6.45,4.71,1.72,0
12-009248,24.223,2.33,1.71,0
12-009249,9.504,0.915,1.71,0
12-009253,26.724,0.163,1.71,0
12-009260,28.17,1.007,1.71,0.13
12-009265,19.432,3.319,1.71,0
12-009266,19.573,3.411,1.71,0
12-009278,26.904,2.374,1.71,0
12-009296,22.835,3.748,1.71,0.08
12-009301,5.417,4.208,1.71,0
12-009304,21.802,0.266,1.71,0.16
12-009312,24.951,4.281,1.71,0
12-009315,20.494,3.318,1.71,0
12-009339,22.02,1.331,1.7,0.05
12-009346,18.522,2.843,1.7,0
12-009354,20.19,0.626,1.7,0
12-009361,6.265,4.946,1.7,0
12-009381,26.229,1.381,1.7,0.17
12-009385,7.518,0.462,1.7,0
12-009390,15.442,1.387,1.7,0
12-009396,26.651,0.296,1.7,0.11
12-009398,19.491,2.307,1.7,0
12-009416,6.815,1.004,1.69,0
12-009472,4.022,2.844,1.69,0
12-009485,23.401,3.545,1.69,0
12-009491,4.963,0.554,1.68,0
12-009493,25.606,4.439,1.68,0
12-009511,24.978,2.574,1.68,0
12-009513,16.792,1.789,1.68,0
12-009518,28.786,2.948,1.68,0
12-009543,19.802,1.871,1.68,0.1
12-009585,9.633,3.49,1.67,0
12-009609,15.225,0.942,1.67,0
12-009624,14.49,3.775,1.67,0
12-009633,8.724,2.174,1.67,0
12-009641,7.189,2.503,1.67,0
12-009643,13.389,3.452,1.67,0
12-009653,9.662,2.115,1.67,0
12-009660,28.022,2.514,1.66,0
12-009666,21.07,2.603,1.66,0.11
12-009667,1.663,2.165,1.66,0.09
12-009670,21.082,3.837,1.66,0
12-009673,18.816,2.911,1.66,0
12-009681,7.173,1.48,1.66,0
12-009720,26.758,4.716,1.66,0
12-009734,16.179,1.127,1.65,0
12-009735,4.772,4.575,1.65,0
12-009739,20.332,0.511,1.65,0
12-009742,10.357,1.298,1.65,0
12-009749,13.213,0.952,1.65,0
12-009757,17.22,3.375,1.65,0
12-009758,26.02,2.142,1.65,0
12-009763,5.845,1.608,1.65,0.13
12-009773,6.403,0.161,1.65,0
12-009793,3.357,1.056,1.65,0
12-009796,19.869,0.749,1.65,0
12-009797,25.501,2.655,1.65,0.05
12-009798,5.839,4.702,1.65,0
12-009808,7.549,0.829,1.64,0
12-009822,17.068,3.83,1.64,0
12-009824,29.933,4.774,1.64,0.16
12-009830,25.542,4.646,1.64,0
12-009849,20.624,4.568,1.64,0
12-009873,7.266,1.341,1.64,0
12-009887,22.632,2.796,1.63,0
12-009902,18.032,1.347,1.63,0
12-009906,14.226,2.647,1.63,0
12-009920,20.807,0.456,1.63,0.06
12-009924,22.697,4.066,1.63,0.14
12-009930,11.032,4.189,1.63,0
12-009934,7.061,4.503,1.63,0
12-009937,24.587,1.75,1.63,0
12-009953,19.772,0.246,1.63,0.09
12-009982,19.292,0.112,1.62,0
12-010001,6.316,4.895,1.62,0
12-010012,24.138,1.196,1.62,0
12-010023,20.547,2.202,1.62,0
12-010057,20.72,3.801,1.62,0
12-010088,17.26,3.599,1.61,0
12-010100,15.951,2.703,1.61,0
12-010110,20.694,0.765,1.61,0.15
12-010125,7.122,4.152,1.61,0
12-010126,18.865,1.383,1.61,0
12-010136,6.526,3.718,1.61,0
12-010164,12.204,4.208,1.6,0
12-010182,7.866,1.921,1.6,0
12-010183,6.214,4.684,1.6,0
12-010199,24.008,4.337,1.6,0.04
12-010200,20.745,4.271,1.6,0.09
12-010230,25.634,4.545,1.6,0
12-010231,18.366,0.42,1.6,0
12-010232,12.938,4.311,1.6,0
12-010248,8.356,3.589,1.59,0
12-010268,19.964,0.976,1.59,0
12-010271,24.2,4.817,1.59,0
12-010281,28.523,3.454,1.59,0
12-010293,29.66,4.388,1.59,0
12-010296,11.681,4.284,1.59,0
12-010298,26.256,1.59,1.59,0
12-010330,26.463,0.176,1.58,0.07
12-010341,4.924,4.315,1.58,0
12-010357,7.957,0.131,1.58,0
12-010365,5.273,2.904,1.58,0
12-010366,12.091,1.488,1.58,0
12-010379,2.139,2.289,1.58,0
12-010394,20.922,1.24,1.58,0
12-010406,1.311,1.174,1.58,0
12-010421,7.093,1.309,1.57,0
12-010425,1.565,4.049,1.57,0
12-010429,11.669,3.052,1.57,0
12-010446,20.808,2.004,1.57,0
12-010447,22.604,0.529,1.57,0.07
12-010454,17.671,2.334,1.57,0
12-010458,23.569,1.685,1.57,0
12-010459,15.169,3.817,1.57,0
12-010460,4.985,4.858,1.57,0
12-010463,22.485,2.953,1.57,0
12-010483,6.025,3.26,1.57,0
12-010485,8.169,2.629,1.57,0
12-010495,28.783,4.324,1.57,0
12-010498,18.018,2.171,1.57,0
12-010533,19.584,3.382,1.56,0.09
12-010547,1.528,3.785,1.56,0.03
12-010551,27.928,1.816,1.56,0
12-010571,11.945,2.345,1.56,0
12-010583,6.656,1.117,1.56,0
12-010590,15.527,2.112,1.56,0
12-010609,22.234,0.285,1.56,0
12-010617,21.379,2.303,1.56,0
12-010642,0.17,4.488,1.55,0
12-010646,29.255,2.537,1.55,0.06
12-010649,19.118,0.665,1.55,0
12-010660,22.236,2.971,1.55,0
12-010662,24.3,1.813,1.55,0
12-010671,21.518,4.865,1.55,0
12-010674,7.353,3.756,1.55,0
12-010691,2.532,3.155,1.55,0
12-010695,23.256,4.103,1.55,0
12-010702,7.17,1.313,1.55,0
12-010731,27.759,1.507,1.55,0
12-010737,15.203,2.55,1.54,0
12-010740,20.31,1.158,1.54,0
12-010741,16.668,0.69,1.54,0
12-010760,24.659,0.029,1.54,0.09
12-010762,13.465,4.563,1.54,0
12-010778,3.38,0.452,1.54,0
12-010807,16.117,3.726,1.54,0
12-010818,19.568,3.115,1.54,0
12-010823,3.795,3.752,1.54,0
12-010827,13.708,1.175,1.53,0
12-010839,14.713,3.427,1.53,0
12-010840,7.223,0.33,1.53,0
12-010842,7.185,2.716,1.53,0
12-010847,6.859,1.615,1.53,0
12-010860,7.641,4.376,1.53,0.04
12-010863,17.115,1.861,1.53,0
12-010868,12.811,1.984,1.53,0.09
12-010881,3.35,2.03,1.53,0
12-010882,0.375,3.749,1.53,0
12-010884,6.645,4.827,1.53,0
12-010885,15.484,4.783,1.53,0
12-010901,6.233,4.704,1.53,0
12-010922,27.605,1.905,1.53,0
12-010928,5.261,4.544,1.52,0
12-010936,20.618,4.012,1.52,0
12-010942,23.879,2.211,1.52,0
12-010943,16.716,1.416,1.52,0
12-010948,19.262,2.409,1.52,0
12-010950,9.71,0.89,1.52,0
12-010951,22.806,0.667,1.52,0
12-010953,19.662,0.556,1.52,0
12-010968,3.257,0.912,1.52,0.12
12-010976,19.915,0.757,1.52,0
12-010983,18.013,0.612,1.52,0
12-010984,8.939,2.631,1.52,0
12-010989,4.964,2.437,1.52,0.03
12-010997,16.7,0.109,1.52,0
12-011003,21.341,4.306,1.52,0
12-011013,9.841,0.315,1.51,0
12-011019,23.873,0.594,1.51,0
12-011022,3.94,2.756,1.51,0
12-011031,23.572,0.796,1.51,0
12-011036,7.709,3.625,1.51,0
12-011040,13.227,2.518,1.51,0
12-011048,21.122,2.438,1.51,0
12-011057,7.209,4.295,1.51,0.05
12-011064,22.961,4.099,1.51,0
12-011074,5.326,2.97,1.51,0
12-011089,21.549,2.054,1.51,0
12-011107,6.857,2.261,1.51,0
12-011118,19.727,3.477,1.51,0
12-011119,19.947,4.589,1.51,0
12-011120,1.187,4.541,1.5,0.07
12-011121,9.538,3.234,1.5,0.09
12-011128,1.044,2.407,1.5,0
12-011150,24.053,1.723,1.5,0
12-011160,19.686,1.629,1.5,0
12-011176,14.212,1.968,1.5,0
12-011183,15.258,2.376,1.5,0
12-011197,9.6,3.458,1.5,0.04
12-011212,7.324,0.816,1.5,0
12-011213,28.832,2.317,1.5,0
12-011215,2.075,0.334,1.5,0.03
12-011232,13.445,0.959,1.5,0
12-011233,15.919,1.478,1.5,0
12-011239,13.072,0.246,1.5,0
12-011242,4.288,3.314,1.5,0
12-011257,17.246,2.116,1.49,0
12-011262,28.889,3.065,1.49,0
12-011265,12.991,2.819,1.49,0
12-011278,11.076,1.766,1.49,0
12-011282,21.769,2.967,1.49,0
12-011283,4.539,4.722,1.49,0
12-011306,19.02,1.374,1.49,0
12-011307,24.32,2.821,1.49,0
12-011329,16.331,1.057,1.49,0
12-011341,6.222,3.863,1.49,0
12-011348,24.749,4.24,1.49,0
12-011353,20.618,0.892,1.49,0
12-011356,21.076,3.446,1.48,0
12-011360,5.56,4.626,1.48,0
12-011368,21.384,4.913,1.48,0
12-011371,24.78,4.502,1.48,0
12-011374,9.688,1.944,1.48,0
12-011391,5.335,1.27,1.48,0
12-011394,19.986,0.27,1.48,0
12-011409,16.12,0.97,1.48,0
12-011413,24.015,2.986,1.48,0
12-011429,23.821,3.369,1.48,0
12-011433,2.527,1.16,1.48,0
12-011449,26.274,0.521,1.48,0
12-011477,5.954,0.727,1.47,0
12-011484,6.554,4.411,1.47,0
12-011488,7.72,3.031,1.47,0
12-011497,20.889,0.483,1.47,0
12-011506,6.39,1.104,1.47,0.04
12-011524,20.876,2.058,1.47,0
12-011533,28.218,0.594,1.47,0.05
12-011535,23.308,2.993,1.47,0
12-011538,23.475,3.784,1.47,0
12-011548,27.655,2.689,1.47,0
12-011561,10.161,3.85,1.47,0
12-011562,4.627,4.915,1.47,0
12-011565,16.694,1.847,1.47,0
12-011576,6.342,3.386,1.46,0
12-011587,11.166,2.459,1.46,0
12-011591,16.937,0.25,1.46,0
12-011596,18.904,2.814,1.46,0
12-011597,27.275,3.069,1.46,0
12-011598,25.588,0.794,1.46,0
12-011614,7.348,0.852,1.46,0
12-011616,25.952,0.633,1.46,0
12-011618,17.204,3.677,1.46,0
12-011619,14.524,4.343,1.46,0
12-011620,22.802,3.707,1.46,0
12-011629,17.909,2.923,1.46,0
12-011630,7.541,2.077,1.46,0
12-011631,21.708,4.885,1.46,0
12-011635,3.472,0.913,1.46,0
12-011640,20.044,4.111,1.46,0
12-011641,7.239,3.659,1.46,0
12-011645,5.903,3.207,1.46,0
12-011649,7.312,4.983,1.46,0
12-011652,19.459,3.188,1.46,0
12-011670,7.301,2.161,1.45,0
12-011673,17.375,0.381,1.45,0
12-011676,3.878,1.769,1.45,0
12-011687,10.274,0.295,1.45,0
12-011690,3.102,1.195,1.45,0
12-011691,6.52,0.349,1.45,0
12-011708,23.538,3.248,1.45,0
12-011726,28.296,0.373,1.45,0
12-011744,7.428,2.703,1.45,0
12-011786,5.199,4.94,1.45,0
12-011787,10.313,4.154,1.45,0
12-011788,10.659,4.891,1.45,0
12-011810,18.731,0.101,1.44,0
12-011811,0.295,0.27,1.44,0
12-011812,1.571,0.024,1.44,0.13
12-011827,22.665,4.254,1.44,0
12-011833,6.518,1.653,1.44,0
12-011845,24.105,4.676,1.44,0.08
12-011849,14.646,1.532,1.44,0
12-011852,20.999,0.546,1.44,0
12-011862,5.375,4.314,1.44,0
12-011865,27.982,1.478,1.44,0
12-011867,5.697,0.406,1.44,0
12-011877,3.244,1.807,1.44,0
12-011881,21.176,3.764,1.44,0
12-011887,9.398,3.981,1.44,0
12-011892,19.879,4.808,1.44,0
12-011919,26.269,2.639,1.43,0
12-011922,0.551,1.354,1.43,0
12-011930,25.672,4.73,1.43,0
12-011934,14.296,3.722,1.43,0
12-011942,15.352,4.856,1.43,0
12-011964,7.297,1.671,1.43,0
12-011967,17.75,2.586,1.43,0
12-011982,9.757,2.242,1.43,0
12-012038,24.391,1.218,1.42,0
12-012048,7.374,3.03,1.42,0
12-012053,2.761,0.918,1.42,0
12-012055,21.215,2.426,1.42,0
12-012069,19.493,3.189,1.42,0
12-012081,1.313,0.377,1.42,0
12-012097,24.583,4.588,1.42,0
12-012099,7.653,4.254,1.42,0
12-012109,28.483,0.543,1.42,0
12-012134,15.218,4.654,1.41,0
12-012147,13.594,0.491,1.41,0
12-012151,6.09,4.546,1.41,0
12-012162,22.99,4.694,1.41,0
12-012163,11.819,3.33,1.41,0
12-012177,26.316,3.577,1.41,0
12-012183,25.398,1.788,1.41,0
12-012185,3.354,0.856,1.41,0
12-012190,24.623,4.105,1.41,0
12-012206,21.691,0.953,1.41,0
12-012217,6.306,0.853,1.41,0
12-012229,10.998,4.843,1.41,0
12-012250,19.488,0.494,1.41,0
12-012252,28.565,2.536,1.41,0
12-012259,13.334,1.959,1.4,0
12-012266,17.416,3.391,1.4,0
12-012294,18.514,3.363,1.4,0
12-012299,26.791,2.893,1.4,0
12-012303,23.987,4.672,1.4,0
12-012310,6.992,1.182,1.4,0
12-012315,15.686,4.311,1.4,0
12-012327,28.698,1.178,1.4,0
12-012342,26.59,0.916,1.4,0
12-012354,7.432,0.808,1.4,0
12-012355,3.466,1.088,1.4,0
12-012356,8.938,3.57,1.4,0
12-012369,22.259,3.77,1.4,0
12-012389,24.002,0.633,1.39,0
12-012396,8.69,4.949,1.39,0
12-012399,9.435,1.858,1.39,0
12-012410,20.4,3.428,1.39,0
12-012422,14.282,0.773,1.39,0.04
12-012425,22.918,1.456,1.39,0
12-012426,24.995,2.513,1.39,0
12-012439,25.82,1.811,1.39,0
12-012440,23.901,3.726,1.39,0
12-012488,15.54,1.58,1.39,0
12-012498,20.327,1.112,1.38,0
12-012522,22.765,4.192,1.38,0
12-012536,24.498,4.174,1.38,0
12-012539,22.981,0.553,1.38,0
12-012543,1.846,2.016,1.38,0
12-012552,1.185,4.207,1.38,0
12-012556,3.056,3.251,1.38,0
12-012562,9.127,4.189,1.38,0
12-012575,20.157,2.685,1.38,0
12-012577,18.185,4.847,1.38,0
12-012578,7.122,1.352,1.38,0
12-012582,27.505,1.743,1.38,0
12-012596,8.553,0.591,1.38,0.07
12-012608,8.519,4.927,1.38,0.04
12-012645,11.692,0.137,1.37,0.05
